"Account address","Show boosts"
"@14_15_puzzle@ioc.exchange","true"
"@abdulkazi@hachyderm.io","true"
"@abt@mastodon.social","true"
"@Adamgruer@fosstodon.org","true"
"@alevyinroc@techhub.social","true"
"@AliciaSchep@vis.social","true"
"@allison_horst@mastodon.social","true"
"@ameisen_strasse@mastodon.online","true"
"@amelia@vis.social","true"
"@andersom79@mastodon.social","true"
"@annafergusson@mastodon.nz","true"
"@avatorl@techhub.social","true"
"@awcoding@infosec.exchange","true"
"@ay@awscommunity.social","true"
"@ay5h@techhub.social","true"
"@bardnet@icosahedron.website","true"
"@beeonaposy@recsys.social","true"
"@bethroots@mindly.social","true"
"@bhive01@mastodon.social","true"
"@BhuviTheDataGuy@medium.com","true"
"@caderoux@mastodon.social","true"
"@cagataycevikk@medium.com","true"
"@cagataycevikk@medium.com","true"
"@cboettig@mastodon.social","true"
"@CedScherer@vis.social","true"
"@charliejhadley@tech.lgbt","true"
"@chrisadkin@mastodon.iriseden","true"
"@christosmatskas@hachyderm.io","true"
"@chrisw3bb@vivaldi.net","true"
"@cl@dbatools.io","true"
"@clairegiordano@hachyderm.io","true"
"@claz0r@mastodon.world","true"
"@clisboa@mastodon.social","true"
"@CMpoi@medium.com","true"
"@conan@mastodon.ie","true"
"@cporteous@techhub.social","true"
"@craigmarch@home.social","true"
"@dalehirt@counter.social","true"
"@DataMechanic@techhub.social","true"
"@dataslugger@mas.to","true"
"@daviddasneves@ioc.exchange","true"
"@dbatools@fosstodon.org","true"
"@debasispaul@mastodon.social","true"
"@DerFredo@techhub.social","true"
"@didourebai@medium.com","true"
"@DirkHondong@nrw.social","true"
"@DonaldParish@techhub.social","true"
"@downshiftdata@hachyderm.io","true"
"@EM_SQL@techhub.social","true"
"@emilyriederer@mastodon.social","true"
"@erinstellato@mas.to","true"
"@evelina@sigmoid.social","true"
"@ExcelAnalytics@Mastodon.world","true"
"@exfallsburg@mstdn.social","true"
"@feik@social.cologne","true"
"@FranckPachot@mastodon.social","true"
"@funkysi1701@hachyderm.io","true"
"@gastoncruz@mastodon.social","true"
"@geo_walters@c.im","true"
"@Gilamonster@techhub.social","true"
"@giles_s@mastodonapp.uk","true"
"@GlennAlanBerry@techhub.social","true"
"@GrantingWeather@mastodon.social","true"
"@greatbireef@medium.com","true"
"@grrl_geek@mastodon.world","true"
"@grrrck@fosstodon.org","true"
"@HeidiSeibold@fosstodon.org","true"
"@i__k@mastodon.xyz","true"
"@IISResetMe@infosec.exchange","true"
"@ijrussell@mstdn.social","true"
"@infosecvandana@infosec.exchange","true"
"@itaryan@mastodon.ie","true"
"@jacquep@mastodon.lol","true"
"@jansche@mastodon.online","true"
"@jasminedaly@mastodon.cloud","true"
"@jasminfluri@medium.com","true"
"@jdanton@techhub.social","true"
"@JeanneBernish@newsie.social","true"
"@Jhoie@hashnode.com","true"
"@jkerski@mastodon.tech","true"
"@JMarkantes@mastodon.cloud","true"
"@joehubbert@hachyderm.io","true"
"@JordanOrdix@home.social","true"
"@Jpomfret@tech.lgbt","true"
"@Julia_Hayward@mastodon.me","true"
"@JulieLerman@mas.to","true"
"@justB@techhub.social","true"
"@justinjbird@folks.masto.host","true"
"@kbroman@fosstodon.org","true"
"@kennyneal@twit.social","true"
"@kevchant@techhub.social","true"
"@kilasuit@mastodon.social","true"
"@kirellbenzi@vis.social","true"
"@kjonge@techhub.social","true"
"@l_avrot@fosstodon.org","true"
"@leemarkum@techhub.social","true"
"@lekroll@fosstodon.org","true"
"@LeoNardPohl@chaos.social","true"
"@lewney@mastodon.pirateparty","true"
"@Manzabar@mastodon.cloud","true"
"@MariaLuisaFranciolini@mastodon.uno","true"
"@MarkMpn@mastodon.world","true"
"@math_rachel@mastodon.social","true"
"@mdbdba@masto.ai","true"
"@MI77@mastodon.online","true"
"@mikcatta@mastodon.radio","true"
"@mikerspencer@mastodon.scot","true"
"@Mingagelis@datacorner.social","true"
"@MKD@mastodonapp.uk","true"
"@moebeus@mastodon.online","true"
"@mrthetrain@unsplash.com","true"
"@mssqlgirl@techhub.social","true"
"@napalmgram@mastodon.social","true"
"@naumko@twit.social","true"
"@nemke@mas.to","true"
"@Nican@meow.social/web","true"
"@nocentino@techhub.social","true"
"@NseobotA@hashnode.com","true"
"@NULLgarity@sfba.social","true"
"@nullh@warhammer.social","true"
"@osiris687@masthead.social","true"
"@osiris687@masthead.social","true"
"@paulnnakwe@medium.com","true"
"@pcurd@mastodon.social","true"
"@peschkaj@hachyderm.io","true"
"@pesse@mastodon.social","true"
"@PickiHH@mastodon.social","true"
"@pitichampeethong@medium.com","true"
"@pshore73@mas.to","true"
"@rakeshchoudharydrc@medium.com","true"
"@rharmsen@mastodon.nl","true"
"@RickGarner@dotnet.social","true"
"@RicksterCDN@mastodon.social","true"
"@rightincode@mastodon.world","true"
"@ritagiordano@vis.social","true"
"@rmflight@mastodon.social","true"
"@rmhogervorst@mastodon.world","true"
"@road42@mastodon.green","true"
"@robclenshaw@mastodon.online","true"
"@robf@mas.to","true"
"@robjhyndman@aus.social","true"
"@rune@techhub.social","true"
"@samfirke@a2mi.social","true"
"@sellorm@mastodon.social","true"
"@senthilkumarbala@medium.com","true"
"@shanselman@hachyderm.io","true"
"@sivajan@getpocket.com","true"
"@sladescross@toot.community","true"
"@smach@fosstodon.org","true"
"@SOZDBA@techhub.social","true"
"@sporri@vivaldi.social","true"
"@SQLBek@techhub.social","true"
"@Sqlgene@techhub.social","true"
"@sqlpedro@mas.to","true"
"@SQLSwimmer@data-folks","true"
"@sqlworldwide@techhub.social","true"
"@statwonk@techhub.social","true"
"@synkdorbit@masto.ai","true"
"@sysadmindrew@tech.lgbt","true"
"@TheConstructor@social.tchncs.de","true"
"@TheCrazyDogLady@indieweb.social","true"
"@thrond@mastodon.social","true"
"@tmitch@mastodon.social","true"
"@tonehansson@mas.to","true"
"@trallard@chaos.social","true"
"@travi@skrimmage.com","true"
"@trendoid@fosstodon.org","true"
"@veerlevanson@mastodon.online","true"
"@venzann@mastodon.nz","true"
"@vickyharp@mas.to","true"
"@visnut@aus.social","true"
"@Warwick_Rudd@mas.to","true"
"@xantha@petrous.vislae","true"
"@YetAnotherSQL@noc.social","true"
